freq,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MT	: 	: 	: 	: 	148.8 	150.5 	145.9 	147.8 	146.9 	135.7 	131.2 	124.7 	121.5 	118.7 	115.3 	113.3 	111.8 	111.0 	107.7 	109.1 	105.1 	103.5 bp
A,NL	174.2 	174.0 	172.4 	173.5 	171.0 	169.9 	166.7 	164.8 	156.7 	146.9 	135.8 	126.1 	118.6 	109.1 	107.3 	101.2 	105.9 	108.3 	105.5 	98.4 	85.7 	95.1 bp
A,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.9 	37.9 	27.6 bp
A,PL	: 	: 	: 	: 	154.1 	155.2 	155.9 	153.7 	153.1 	151.6 	146.2 	144.5 	141.3 	138.1 	132.9 	129.3 	125.8 	127.6 	129.8 	130.4 	121.7 	136.2 bp
A,PT	169.2 	: 	154.0 	149.9 	147.1 	144.9 	145.0 	144.2 	138.2 	133.8 	127.2 	122.8 	117.6 	112.2 	108.8 	105.7 	104.7 	104.7 	106.1 	109.4 	97.5 	107.1 bp
A,RO	: 	: 	: 	: 	: 	: 	: 	154.8 	156.0 	157.0 	148.5 	140.7 	139.0 	132.1 	128.2 	125.0 	122.0 	120.6 	121.5 	124.3 	115.4 	126.5 bp
A,SE	200.0 	200.2 	198.2 	198.5 	197.2 	193.8 	188.6 	181.4 	173.9 	164.5 	151.3 	141.8 	135.9 	133.2 	131.0 	126.3 	123.1 	122.3 	122.2 	119.7 	93.5 	88.3 bp
A,SI	: 	: 	: 	: 	152.7 	157.2 	155.3 	156.3 	155.9 	152.0 	144.4 	139.7 	133.4 	125.6 	121.3 	119.2 	119.0 	119.6 	120.9 	123.8 	114.2 	133.9 bp
A,SK	: 	: 	: 	: 	: 	157.4 	152.0 	152.7 	150.4 	146.6 	149.0 	144.9 	141.0 	135.1 	131.7 	127.6 	124.8 	126.1 	127.6 	130.4 	120.2 	139.2 bp
A,UK	185.4 	177.9 	174.8 	172.7 	171.4 	169.7 	167.7 	164.7 	158.2 	149.7 	144.2 	138.0 	132.9 	128.3 	124.6 	121.3 	120.1 	121.1 	124.6 	127.7 	111.7 	: 
