"Statistic Label","Year","Transport Traffic Site","Weeks of the year","UNIT","VALUE"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 23","Number","500566"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 24","Number","513231"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 25","Number","512834"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 26","Number","515383"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 27","Number","507907"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 28","Number","526467"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 29","Number","534571"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 30","Number","515382"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 31","Number","504869"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 32","Number","524890"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 33","Number","531446"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 34","Number","549047"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 35","Number","531509"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 36","Number","533924"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 37","Number","536930"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 38","Number","540797"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 39","Number","536807"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 40","Number","538104"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 41","Number","537892"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 42","Number","537632"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 43","Number","525536"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 44","Number","533257"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 45","Number","535318"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 46","Number","532073"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 47","Number","514876"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 48","Number","519436"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 49","Number","496857"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 50","Number","532581"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 51","Number","455206"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 52","Number","369456"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 53","Number",""
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 01","Number","420291"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 02","Number","468040"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 03","Number","486562"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 04","Number","502538"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 05","Number","507672"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 06","Number","512675"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 07","Number","506623"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 08","Number","533714"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 09","Number","534969"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 10","Number","521347"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 11","Number","490995"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 12","Number","542469"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 13","Number","543560"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 14","Number","546815"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 15","Number","536268"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 16","Number","558694"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 17","Number","561127"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 18","Number","556239"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 19","Number","575405"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 20","Number","571593"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 21","Number","578719"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 22","Number","560207"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 23","Number","554260"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 24","Number","569312"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 25","Number","571084"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 26","Number","563171"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 27","Number","537825"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 28","Number","546454"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 29","Number","558061"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 30","Number","515650"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 31","Number","548190"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 32","Number","571523"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 33","Number","574178"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 34","Number","582683"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 35","Number","568721"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 36","Number","572995"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 37","Number","576323"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 38","Number","565849"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 39","Number","563189"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 40","Number","555361"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 41","Number","556828"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 42","Number","550995"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 43","Number","557435"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 44","Number","480617"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 45","Number","551500"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 46","Number","554558"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 47","Number","546451"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 48","Number","556871"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 49","Number","533722"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 50","Number","535536"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 51","Number","500570"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 52","Number","414049"
"Average weekly volume of cars","2022","Selected traffic sites - Dublin","Week 53","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 01","Number","483843"
